"TELEPULES_ID","TELEPULES","LAKOS"
"16461","Berkesd","853"
"07472","Berkesz","876"
"18777","Bernecebaráti","846"
"30119","Berzence","2508"
"26356","Berzék","1098"
"30049","Besence","123"
"11305","Besenyszög","3411"
"13639","Besenyőd","651"
"27517","Besenyőtelek","2611"
"16346","Besnyő","1801"
"21227","Beszterec","1026"
"14119","Bezedek","237"
"29805","Bezenye","1426"
"12830","Bezeréd","157"
"10560","Bezi","500"
"08891","Biatorbágy","12567"
"10481","Bicske","11659"
"13310","Bicsérd","1023"
"25256","Bihardancsháza","185"
"19956","Biharkeresztes","3851"
"24828","Biharnagybajom","2725"
"29887","Bihartorda","890"
"29610","Biharugra","846"
"04899","Bikal","745"
"11970","Bikács","433"
"02945","Biri","1298"
"05139","Birján","511"
"24925","Bisse","240"
"29203","Boba","800"
"17543","Bocfölde","1136"
"22354","Boconád","1301"
"31291","Bocska","371"
"34102","Bocskaikert","2949"
"20899","Boda","432"
"18254","Bodajk","4081"
"11624","Bodmér","225"
"33002","Bodolyabér","225"
"06220","Bodonhely","280"
"14933","Bodony","724"
"04321","Bodorfa","105"
"10506","Bodrog","432"
"23737","Bodroghalom","1297"
"30784","Bodrogkeresztúr","1122"
"33808","Bodrogkisfalud","862"
"14401","Bodrogolaszi","920"
"10694","Bogdása","287"
"03425","Bogyiszló","2211"
"04367","Bogyoszló","605"
"25195","Bogács","2007"
"32151","Bogád","1080"
"21892","Bogádmindszent","410"
"14137","Bojt","482"
"07311","Bokod","2133"
"03841","Bokor","108"
"03452","Boldog","2996"
"13116","Boldogasszonyfa","425"
"14474","Boldogkőváralja","1154"
"18944","Boldogkőújfalu","546"
"08396","Boldva","2312"
"13994","Bolhás","420"
"18120","Bolhó","713"
"10782","Boncodfölde","358"
"22673","Bonnya","260"
"06497","Bonyhád","13829"
"14818","Bonyhádvarasd","407"
"08192","Bordány","3277"
"03090","Borgáta","155"
"06725","Borjád","402"
"19327","Borota","1303"
"10056","Borsfa","730"
"30669","Borsodbóta","866"
"16124","Borsodgeszt","256"
"06707","Borsodivánka","737"
"05315","Borsodnádasd","3037"
