"jaras_kod","jaras_nev","oltott","gyerek","arany"
"197","Zalaegerszegi",5245,7495,69.9799866577719
"086","Csornai",1159,2372,48.8617200674536
"116","Balassagyarmati",1710,3051,56.047197640118
"121","Szécsényi",517,1609,32.1317588564326
"079","Enyingi",818,1831,44.6750409612234
"146","Siófoki",2636,3859,68.3078517750713
"104","Egri",4284,6626,64.6543917899185
"175","Tolnai",974,1632,59.6813725490196
"074","Mórahalmi",1614,2377,67.9007151872108
"019","19. ker.",3568,4106,86.8972235752557
"128","Gödöllői",12840,16503,77.8040356298855
"145","Nagyatádi",942,2074,45.4194792671167
"147","Tabi",272,970,28.0412371134021
"042","Kiskunmajsai",417,1615,25.8204334365325
"101","Nyíradonyi",746,2935,25.4173764906303
"009","09. ker.",2305,3129,73.6657078938958
"185","Balatonfüredi",1282,1982,64.6821392532795
"171","Dombóvári",1659,2340,70.8974358974359
"109","Pétervásárai",421,1645,25.5927051671733
"187","Pápai",2852,4555,62.6125137211855
"103","Bélapátfalvai",279,586,47.6109215017065
"172","Paksi",3182,4087,77.8566185466112
"188","Sümegi",284,1157,24.5462402765774
"160","Záhonyi",674,1845,36.5311653116531
"099","Hajdúnánási",1699,2503,67.8785457451059
"095","Debreceni",10478,17361,60.3536662634641
"007","07. ker.",1480,2236,66.1896243291592
